[09:32:38] === CP3A BATCH START === tasks=90 lanes=3 runs_each=3 total=810 already_done=0
[09:32:38] --- LANE LANE-GEMINI-001 (gemini-2.5-flash) ---
[09:32:47]   [1/810] RUN-A1-001-LANE-GEMINI-001-1 OK finish=STOP tokens=1669 out=3553ch t=8.8s
[09:32:58]   [2/810] RUN-A1-001-LANE-GEMINI-001-2 OK finish=STOP tokens=1962 out=3185ch t=10.0s
[09:33:08]   [3/810] RUN-A1-001-LANE-GEMINI-001-3 OK finish=STOP tokens=1687 out=2974ch t=8.9s
[09:35:04] === CP3A BATCH START === tasks=90 lanes=3 runs_each=3 total=810 already_done=4
[09:35:04] --- LANE LANE-GEMINI-001 (gemini-2.5-flash) ---
[09:35:15]   [5/810] RUN-A1-002-LANE-GEMINI-001-2 OK finish=STOP tokens=2174 out=5080ch t=11.0s
[09:35:29]   [6/810] RUN-A1-002-LANE-GEMINI-001-3 OK finish=STOP tokens=2442 out=5417ch t=12.3s
[09:35:50]   [7/810] RUN-A1-003-LANE-GEMINI-001-1 OK finish=STOP tokens=4092 out=4795ch t=19.2s
[09:36:07]   [8/810] RUN-A1-003-LANE-GEMINI-001-2 OK finish=STOP tokens=3277 out=6258ch t=15.8s
[09:36:26]   [9/810] RUN-A1-003-LANE-GEMINI-001-3 OK finish=STOP tokens=3544 out=4782ch t=17.9s
[09:36:28]   [10/810] RUN-A1-004-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:30]   [11/810] RUN-A1-004-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.6s
[09:36:32]   [12/810] RUN-A1-004-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:34]   [13/810] RUN-A1-005-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:36:36]   [14/810] RUN-A1-005-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:38]   [15/810] RUN-A1-005-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:40]   [16/810] RUN-A1-006-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:42]   [17/810] RUN-A1-006-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:44]   [18/810] RUN-A1-006-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:36:46]   [19/810] RUN-A1-007-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:36:48]   [20/810] RUN-A1-007-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:36:50]   [21/810] RUN-A1-007-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:36:52]   [22/810] RUN-A1-008-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:36:54]   [23/810] RUN-A1-008-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:36:56]   [24/810] RUN-A1-008-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:36:58]   [25/810] RUN-A1-009-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:00]   [26/810] RUN-A1-009-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:02]   [27/810] RUN-A1-009-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:04]   [28/810] RUN-A1-010-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:06]   [29/810] RUN-A1-010-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:08]   [30/810] RUN-A1-010-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:09]   [31/810] RUN-A2-001-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:11]   [32/810] RUN-A2-001-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:13]   [33/810] RUN-A2-001-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:37:15]   [34/810] RUN-A2-002-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:17]   [35/810] RUN-A2-002-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:37:19]   [36/810] RUN-A2-002-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:21]   [37/810] RUN-A2-003-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:23]   [38/810] RUN-A2-003-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:37:25]   [39/810] RUN-A2-003-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:37:27]   [40/810] RUN-A2-004-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
